Land;Brand;Status;Week;Old_mat;New_mat;Art_nr;Prod_grp;Description_SE;Descripiton_DK;GTIN_CU;GTIN_TU;GTIN_Pallet;Type_nr;SP_CU;Depth_CU;Width_CU;Height_CU;Weight_kg_CU;CU_TU;(CU_TU);Depth_TU;Width_TU;Height_TU;Weight_kg_TU;TU_Layer;TU_Pallet;Hi_inc_Pal;GW_PU_kg;NW_PU_kg;DVH_CU   ;DVH_TU;FH_CU;FH_TU
Nordic;Melitta;;;1047783;6748951;2123;TILLBEHÖR ;BRYGGTRATT AROMA BOY VIT 100;TRAGT AROMA BOY HVID 100;4,01E+12;4,01E+12;;;1;110;100;75;0,08;1;;110;100;75;0,8;;1221;;;;22,3;22,3;22,3;22,3
Nordic;Melitta;;;;5960170;2173;TILLBEHÖR ;BRYGGTRATT, 1X4  RÖKFÄRGAD;TRAGT, 1X4  RØGFARVET;4,01E+12;7,31E+12;7,31E+12;;1;155;135;120;0,11;6;;400;290;145;0,9;8;56;1165;;;21,3;127,8;32,3;193,8
Nordic;Melitta;;;;5622481;9021;KAFFEFILTER , VITA;KAFFEFILTER 202s VITA 100-P ;KAFFEFILTER 202s HVID 100-P ;4,02E+12;4,02E+12;4,01E+12;;100;65;144;261;0,36;5;;325;145;263;1,8;18;108;1202;;;97,52;487,6;75,896;379,5
Nordic;Melitta;;;6730079;6758770;10832;KAFFEBRYGGARE ;EXCELLENT PROMO, VIT A.S.O;EXCELLENT PROMO, HVID A.S.O;4,01E+12;4,01E+12;7,31E+12;M510 WH;1;173;309;318;2,5;1;4;363;635;340;11,5;12;36;1165;;;486;486;486;486
Nordic;Melitta;;;;6588144;14082;GLASKANNOR ;GLASKANNA EASY / ENJOY / CAFÉ FUN / CAFÉ LINE, SVART;GLASKANDE EASY / ENJOY / CAFÉ FUN / CAFÉ LINE, SORT;4,01E+12;4,01E+12;4,01E+12;;1;168;192;128;0,33;1;;168;192;128;0,33;28;196;1041;;;91;91;91;91
Nordic;Melitta;;;;5677092;16650;THERMKANNOR ;TERMOKANNA LOOK I, VIT;TERMOKANDE LOOK I, HVID;4,01E+12;4,01E+12;4,01E+12;;1;172;172;191;0,915;1;;175;175;194;0,9;24;96;926;;;159;159;150,5;150,5
Nordic;Melitta;;;;6588212;16819;GLASKANNOR ;GLASKANNA AROMA MAGIC;GLASKANDE AROMA MAGIC;4,01E+12;4,01E+12;4,01E+12;;1;166;190;127;0,34;1;;168;192;128;0,3;28;196;800;;;101,8;101,8;103,9;103,9
Nordic;Melitta;;;;5695386;16968;GLASKANNOR ;GLASKANNA LINEA UNICA, SVART;GLASKANDE LINEA UNICA, SORT;4,01E+12;4,01E+12;5695386;;1;153;153;176;0,43;1;;153;153;176;0,8;30;120;957;;;125,1;125,1;115,5;115,5
Nordic;Melitta;;;;6583200;17228;GLASKANNOR ;GLASKANNA SINGLE 5, VIT;GLASKANDE SINGLE 5, HVID;4,01E+12;4,01E+12;4,01E+12;;1;151;151;132;0,325;1;;151;151;132;0,4;24;264;942;;;107,1;107,1;106;106
Nordic;Melitta;;;;6651152;17272;TILLBEHÖR ;BRYGGTRATT, 102  SVART;TRAGT, 102  SORT;4,01E+12;4,01E+12;4,01E+12;;1;118;118;105;0,097;1;;120;120;110;0,1;8;480;1030;;;19,2;19,2;19,2;19,2
